,wings
0002,1
0003,1
0006,2
0008,1
0010,1
0012,1
0013,1
0014,1
0016,2
0027,1
0029,2
0037,1
0038,1
0039,2
0040,2
0043,2
0047,2
0048,1
0049,1
0051,2
0055,1
0061,2
0063,2
0067,1
0068,2
0070,2
0099,2
0105,1
0106,2
0109,2
0123,2
0128,1
0134,1
0140,2
0142,1
0144,2
0147,2
0148,1
0150,2
0152,2
0153,2
0158,2
0164,1
0166,2
0168,1
0174,1
0175,1
0176,2
0178,1
0181,1
0188,1
0194,1
0197,1
0203,1
0205,1
0206,1
0211,1
0225,2
0226,1
0228,2
0234,2
0237,1
0249,1
0259,2
0263,1
0269,2
0289,2
0300,2
0310,2
0319,1
0325,2
0337,1
0345,2
0352,2
0358,2
0372,1
0373,1
0382,1
0393,2
0399,2
0411,2
0412,1
0418,2
0419,1
0430,1
0442,1
0449,1
0474,1
0493,2
0508,2
0509,1
0514,2
0518,2
0527,2
0529,1
0530,2
0531,1
0533,1
0534,2
0536,2
0537,2
0540,2
0543,1
0551,1
0557,2
0560,2
0574,2
0584,1
0588,2
0597,2
0601,2
0602,2
0608,2
0609,1
0610,1
0611,1
0612,1
0614,2
0615,1
0616,2
0617,1
0618,1
0620,2
0621,2
0622,1
0624,1
0625,1
0626,2
0627,2
0628,2
0629,2
0631,2
0632,2
0634,2
0639,1
0682,2
0688,2
0690,1
0697,2
0702,2
0704,2
0705,1
0728,1
0745,2
0747,2
0760,1
0765,2
0766,2
0789,2
0798,1
0799,2
0812,1
0844,2
0853,2
0854,2
0857,2
0868,1
0870,2
0871,2
0878,2
Abrosoma_festinatum,2
Acanthoxyla_geisovii,2
Acanthoxyla_huttoni,2
Acanthoxyla_inermis,2
Acanthoxyla_intermedia,2
Acanthoxyla_prasina,2
Acanthoxyla_suteri,2
Achrioptera_fallax,1
Achrioptera_punctipes,1
Achrioptera_spinosissima,1
Acrophylla_thoon,1
Acrophylla_titan,1
Acrophylla_wuelfingi,1
Agamemnon_cornutus,2
Agathemera_claraziana,2
Agathemera_crassa,2
Agathemera_elegans,2
Agathemera_grylloidea,2
Agathemera_luteola,2
Agathemera_maculafulgens,2
Agathemera_mesoauriculae,2
Agathemera_millepunctata,2
Anchiale_austrotessulata,1
Anchiale_briareus,1
Anisacantha_difformis,1
Anisomorpha_buprestoidea,2
Anisomorpha_buprestoides,2
Anisomorpha_ferruginea,2
Antongilia_muricata,2
Apterograeffea_marshallae,2
Apterograeffea_reunionensis,2
Aretaon_asperrimus,2
Argosarchus_horridus,2
Asprenas_impennis,2
Asteliaphasma_jacunda,2
Austrocarausius_mercurius,2
